,tweet,Python_cosine,python_euclidean
0,best kept secret 100 free coming,6,2
1,long delays occurring due crash sb m1 logan overpass delays back,2,6
2,service manager area automotive talent,6,2
3,schools part collude,6,2
4,observation part m1,6,2
5,got privilege driving city logan virtually traffic day,0,2
6,lucky 8 mile plains merge usually 5 disaster stretch dangerous 80,6,2
7,underwood spill directions logan road road clear,3,1
8,one patient transported stable logan hospital following incident road road,3,1
9,life pastor worship life groups integration required uniting church vision development worship creative arts ministry see apply http pastor,6,0
10,logan,0,2
11,live streaming monday division 1 permanent safety camera intersection road funded council logan safety camera program safety,3,1
12,accident logan road road clear,3,1
13,logan central iv 55 55 connection,0,2
14,thanks getting back one purchased woolworths logan previous one purchased woolworths,0,2
15,stalled vehicle northbound pacific logan road clear,4,5
16,underwood traffic lights road logan road http,3,1
17,underwood spill directions logan road road,3,1
18,traffic lights flashing yellow road logan service road clear,3,1
19,accident logan road road,3,1
20,stalled vehicle northbound pacific logan road,4,5
21,slow traffic northbound pacific motorway logan road underwood clear,4,5
22,services coordinator required uniting church lead build coordinate support services mission ministry life church see apply http,6,0
23,thanks logan city council response building shop australia,0,2
24,logan central iv 44 105 55 connection,0,2
25,wrap final digital success workshops gold coast another scheduled logan beautiful boardroom come join us learn master digital space business share pro http,0,0
26,lost cat jasper logan city,0,2
27,grey brown stripe top spotty belly,6,2
28,missing 26 nov,6,2
29,people time part people power come anglican parish logan http,0,0
30,office open buying selling logan area please feel free drop coffee chat vanessa cinderella house,0,2
31,lytton logan,0,2
32,logan central iv 64 55 connection,0,2
33,logan lytton,0,2
34,honestly think choice second m1 northern gc residents wholesale upgrade congestion cost even sniff winning logan catastrophic polls play,0,2
35,extremely rude bus driver outbound coming around pass dissatisfaction logan city bs,0,2
36,lost cat logan,0,2
37,three-legged indoor cat much loved missed family,6,2
38,breakdown pacific northbound right lane exit 20 logan towing proceeding,4,5
39,lost cat sandy logan,0,2
40,sandy went missing late saturday night,6,2
41,http,6,0
42,logan city albert list candidates logan waterford,0,2
43,multiple parttime positions covering logan browns plains areas http,0,0
44,accident southbound pacific motorway logan road clear,4,5
45,heading south delays crash back logan exit 14 eight mile plains,2,6
46,broken truck clear logan exit 20,0,2
47,3 bed study nook property rent australia logan area http,0,0
48,great news major upgrade m1 gateway merge logan,0,2
49,funding secured upgrade gateway motorway m1 merge construction australia http,6,0
50,air-conditioned 3 bedroom home study nook property rent australia logan area http,0,0
51,drop napa auto store logan check gear http,0,0
52,fingers crossed hoping love logan city council declared first,0,2
53,live ghetto logan,0,2
54,seen plenty yes gear around suburban brisbane today territory provincial logan,0,2
55,rubbing shoulders sports minded healthy people attending centre city logan sports http,0,0
56,fortunate listen world renowned expert thanks ss bringing logan staff parents,0,2
57,accident fitzgerald logan clear,0,2
58,pronounce http hard-on logan spring boner w,0,0
59,logan mayor luke smith tells forum proposed developments http,0,0
60,best chef home competition logan brisbane,0,2
61,great tool logan,0,2
62,calculate much left stamp duty upfront costs home loan deposit calculator,6,2
63,conversation continued non stop logan central twat even blocking aisle keep talking,0,2
64,first tweet drunken twat got minute earlier logan central plaza heading,0,2
65,thai green chicken curry logan,0,2
66,logan central f 55 connection,0,2
67,lunch deal logan city,0,2
68,dude shadow boxing front tavern peak logan,0,2
69,great offer customers let help underwood logan,0,2
70,thanks get voucher galaxy gear,6,2
71,watson truck driving school logan truck logan city,0,2
72,pronounce http erection spring hard-on logan wood boner,0,0
73,nice job logan city council prompt response,0,2
74,miller logan,0,2
75,missing dog logan region,5,4
76,gone missing mums dog http,6,4
77,hoping love post logan city council declared first economic development,0,2
78,found dog logan region,5,4
79,hi found dog afternoon handed http,6,4
80,sighting 2 x dogs logan region,5,4
81,sighted two dogs area around http,6,0
82,found 2 x dogs logan region,5,4
83,found 2 x small dogs friendly http,6,4
84,runaway golden retriever 8 year old male http,6,0
85,accident northbound pacific motorway logan road,4,5
86,found dog outside house afternoon http,6,4
87,update breakdown pacific inbound logan cleared however congestion remains,4,5
88,aware breakdown pacific inbound logan vehicle left shoulder affecting left lane,4,5
89,crash nb pacific logan exit 20 cleared delays improving clear soon lanes open,2,6
90,sighting dog logan region,5,4
91,dog wondering around terrace http,6,0
92,found dog area proof ownership http,5,4
93,crash pacific northbound prior logan vehicle right lane,4,5
94,sighting dogs x 2 logan region,5,4
95,sighting two small white dogs corner http,6,0
96,accident northbound logan road logan road clear,3,1
97,northbound exit 20 pacific,4,5
98,crash pacific northbound exit 20 logan road lane 2 blocked ems minor delays caution,4,5
99,actually surprised think turning flashback story stretch,6,2
100,missing cat logan region,5,4
101,went missing yesterday morning batman crescent http,6,0
102,pacific one patient stable logan hospital crash shortly,4,5
103,found bird logan region,5,4
104,found cockatiel leg ring owner http,6,4
105,3 passed away pet notice 3,6,2
106,sighted cat logan region,5,4
107,driving spotted http,6,0
108,break north bound lights logan exit 20 cleared another south bound exit 20,2,6
109,break lights logan exit 20 center lane affected,0,2
110,car servicing brisbane gold coast acacia ridge sumner logan call,0,2
111,take look folks logan city council declared first economic development,0,2
112,year old male x went missing http,6,4
113,celebrate open 7 days 50 wednesday theater logan,0,2
114,found guy back yard tonight wife son http,6,4
115,summit expected draw bright ideas logan,0,2
116,taken anzac day lest forget anzac sunset logan bus,0,2
117,name breed tibetan last seen http,6,0
118,name breed tibetan spaniel last seen http,6,0
119,cat missing sunday worried http,6,0
120,car driver earlier single vehicle crash power pole logan taken stable logan hospital assessment,2,6
121,missing dog drive,5,4
122,name female http,6,0
123,eat free wok star noodle one month competition logan,0,2
124,grateful family drive short distances see nice views like enjoy,6,2
125,logan queensland,0,2
126,blocked broken vehicle northbound m1 logan clear,0,2
127,found little puppy running flat road http,6,1
128,found cat logan region,5,4
129,found male black http,6,4
130,bull mastiff located near http,6,0
131,join place thousands gospel tracts letter boxes around logan city,0,2
132,bring hat http,6,0
133,helicopter overhead police blocking park near know going logan brisbane,0,2
134,1000 residents attending today anzac day commemoration logan knew words anthem,0,2
135,ice heading logan 8 mile plains keep eye 2 score copy new cd,0,2
136,thanks logan city council response damage crescent australia http,0,0
137,found 2 x dogs daisy hill logan region,5,4
138,taken vet hospital http,6,0
139,missing dog area logan region,5,4
140,answers lucifer lu http,6,0
141,logan city council declared first economic development zone offering http,0,0
142,announced first economic development zone booming logan incentives offer,0,2
143,logan council gives million reasons invest http,0,0
144,accident northbound m1 logan clear,0,2
145,logan city council declared first economic development zone offering developers one http,0,0
146,limited joins logan council supporting opening new office month http,0,0
147,opportunities logan residential care workers http,0,0
148,co worker found super game lorikeet morning http,6,4
149,lost dog logan region,5,4
150,lost male small afternoon came home http,6,0
151,dog went missing morning http,6,4
152,breakdown logan road ramp pacific inbound direction,4,5
153,found cat sure boy girl skinny grey http,6,4
154,wonder received many freebies logan councillors lions opened den,0,2
