,Tweet,Python_cosine,Python_Euclidean,Matlab
0,bus delays five dock rozelle canterbury eased,1,0,1
1,accident involving bus corner great north road garfield street five dock,3,5,3
2,chapter east coast main line saga,0,0,5
3,councils across country spending putting people temporary accommodation enough houses sure nothing better spend money,0,0,5
4,waves battering pier make murk mizzle ferry still appears running spare thought crew passengers seas like,0,0,5
5,light going phone dying heres one last videos well updates north east flood warnings night,0,0,5
6,wind really picks fiercely cold mostly dead except interested onlookers,0,0,5
7,heres couple going nice seaside stroll spare moment think lifeguards go freak wave catches,0,0,5
8,hard imagine picture depressing,0,0,5
9,waves battering coast far see honestly stop home gone bit day tomorrow,0,0,5
10,heres exactly big wave brainless,0,0,5
11,volunteer life brigade patrolling area problems report far pleading people stay reach water expecting dangerous conditions,0,0,5
12,tide coming think exact word conditions,0,0,5
13,sea bay looking bit scary floor warnings place north east coast,0,0,5
14,bit nice side keep warm,0,0,5
15,absolute weather north east,0,0,5
16,shock,0,0,5
17,full run controversial northumberland school plans including face closure,0,0,5
18,sixteen schools facing closure northumberland major overhaul county education system,0,0,5
19,angel north early morning light day 20th anniversary celebrations,0,0,5
20,northern powerhouse minister berry mp worried leaked report economists usually wrong fair enough,0,0,5
21,buses travelling five dock delayed 20 minutes due heavy traffic,3,5,6
22,five dock slow traffic eastbound great north http,3,5,3
23,get five icon dock work,1,0,1
24,tweak like example add logo instead operator tweaks want add 5th icon dock must install tweaks five icon dock example yen tweaks thousands,1,0,1
25,nasser used loiter mingles 40s sydney disco five dock music dance pickups always snorting narcissistic dick,1,0,1
26,five dock run chicken tonight unbelievable,1,0,1
27,chef,0,0,5
28,looking forward five dock sessions,1,0,1
29,civic video five dock rip,1,0,1
30,top five otis redding songs number one sitting dock bay number two wonderful world number three try little tenderness number four loving long number five arms mine,1,0,1
31,five o'clock http,2,4,4
32,dock,1,0,5
33,sydney video shops going business fast furious rate one last civic video stores closing today five dock shop trading battling streaming downloads piracy owner shut,1,0,1
34,looked middle five dock canada bay,1,0,1
35,5 bevin avenue five dock,1,0,1
36,look chance getting israel america five dock moment allah,1,0,1
37,fall search destroy london docks game five unfortunately drop series,0,3,5
38,congratulations great series,0,0,5
39,take map four,0,0,5
40,london docks goes way take dropping 39 kills,0,3,5
41,tune game five looking reset bracket,0,0,5
42,2 day sale starts today stores five dock,1,0,1
43,miss,0,0,5
44,likes sinclair work romances kind read like star trek dock five universe series favorite,1,0,1
45,reply comment ben five guards approach ship coming aboard staying docks ben alright release brother guards forced retaliate want fight anymore let prince go,0,3,5
46,across undefeated london docks run dallas positive hill five hills,0,3,5
47,statue points,0,0,5
48,main street points,0,0,5
49,docks points,0,3,5
50,barrels points,0,0,5
51,crane points,0,0,5
52,en dominate first ardennes forest lead second series search destroy london docks underway,0,3,5
53,five dock sunday mixed league division 2 andrew beat albert 15 2 http,5,1,2
54,five dock sunday mixed league premier league hot dodgers beat balls awesome 7 5 http,5,1,2
55,great read relied published study arabian pirate coins found new england authors hard find details pardon one pirate fancy henry every took five cast dock,1,0,1
56,tournaments provide monitors docks network adapters players provide console game controller,0,3,5
57,far aware move tournaments leave dock place switches carried around personal safety,1,0,5
58,kids party five dock leisure centre five dock nsw,1,0,1
59,five dock man stones front 20 squares grass backyard,1,0,1
60,fighting 7 knot current wind enter marina docking jam packed oakland marina south east slip room spare spinning boat coming within inches boat across way touching backing high five dock master,1,0,1
61,five waterfront revitalization,0,0,5
62,successes guide historic,0,0,5
63,mumbai docks redevelopment,0,3,5
64,hyderabad tonight dock forty five,1,0,1
65,bloody love delis five dock always let sample goods works cause always buy intended,1,0,1
66,cicada really eat outline http,2,4,5
67,ill given body sculpting tutorial five dock wellness centre keynote speaker today,1,0,1
68,located less five miles world trade bridge facility includes square feet office space 51 dock doors two ramps trailer spaces,1,0,1
69,understand play wire five times drugs route docks route betrayal route schools truth route final true route people say last route bit disappointing tho,0,3,5
70,missing five dock,1,0,1
71,speaking impact try four five different docks sunset beach successfully return bike,0,3,5
72,rental week stunning brand new canal front executive property five bedroom pool dock,1,0,1
73,remember seeing illinois hotel five dock many many moons ago think actually still hair,1,0,1
74,publican isaac five dock inn road bishops bridge district maitland,1,0,6
75,attention five dock grading completed fixtures sunday,1,0,1
76,carnival fascination resumes year-round service following dry dock seven-day sailings feature five tropical caribbean ports barbados thomas,1,0,1
77,roundabouts wonderful addition playground one park one place five dock,1,0,1
78,check roundabout photo http,2,4,5
79,new tweaks five icon dock ios 11 repository beta software,1,0,1
80,shortly trip four five back dock go,1,0,1
